username,date,time_in,time_out,time_break,is_home_office,created_at,daily_activity_attributes
mshchelkunov,2023-12-07,12:00:00,16:00:00,,No,2023-12-07 16:39:32.832,"{'project_name': 'DSE Quality', 'created_at': '2023-12-07 16:39:32.832000', 'time_spent': '04:00'}"
mkajo,2023-12-07,12:40:00,16:40:00,,No,2023-12-07 16:39:36.288,"{'project_name': 'DSE Quality', 'created_at': '2023-12-07 16:39:36.288000', 'time_spent': '04:00'}"
rtao,2023-12-07,08:00:00,17:30:00,01:30,Yes,2023-12-07 17:40:18.912,"{'project_name': 'IT', 'created_at': '2023-12-07 17:40:18.912000', 'time_spent': '08:00'}"
kokuyama,2023-12-06,11:30:00,17:35:00,00:30,Yes,2023-12-08 11:49:00.768,"{'project_name': 'IT', 'created_at': '2023-12-08 11:49:00.768000', 'time_spent': '05:35'}"
kokuyama,2023-12-08,10:15:00,16:45:00,00:00,Yes,2023-12-08 11:49:41.376,"{'project_name': 'IT', 'created_at': '2023-12-08 11:49:41.376000', 'time_spent': '06:30'}"
mristic,2023-12-01,10:00:00,18:00:00,,Yes,2023-12-08 13:24:07.488,"{'project_name': 'IT', 'created_at': '2023-12-08 13:24:07.488000', 'time_spent': '08:00'}"
mristic,2023-12-04,10:00:00,14:00:00,,Yes,2023-12-08 13:25:12.288,"{'project_name': 'IT', 'created_at': '2023-12-08 13:25:12.288000', 'time_spent': '04:00'}"
mristic,2023-12-05,10:00:00,14:00:00,,Yes,2023-12-08 13:25:36.480,"{'project_name': 'IT', 'created_at': '2023-12-08 13:25:36.480000', 'time_spent': '04:00'}"
mristic,2023-12-06,10:00:00,14:00:00,,Yes,2023-12-08 13:26:14.496,"{'project_name': 'IT', 'created_at': '2023-12-08 13:26:14.496000', 'time_spent': '04:00'}"
jalmendrasvilla,2023-12-08,08:00:00,12:00:00,,Yes,2023-12-08 16:38:48.768,"{'project_name': 'DSE Quality', 'created_at': '2023-12-08 16:38:48.768000', 'time_spent': '04:00'}"
mkajo,2023-12-08,12:30:00,17:00:00,00:30,Yes,2023-12-08 17:03:33.120,"{'project_name': 'DSE Quality', 'created_at': '2023-12-08 17:03:33.120000', 'time_spent': '04:00'}"
dsylari,2023-12-08,12:30:00,17:00:00,00:30,Yes,2023-12-08 17:16:38.496,"{'project_name': 'DSE Tech', 'created_at': '2023-12-08 17:16:38.496000', 'time_spent': '04:00'}"
aminaeva,2023-12-08,18:00:00,22:01:00,,Yes,2023-12-09 02:35:24.288,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-09 02:35:24.288000', 'time_spent': '04:01'}"
mshchelkunov,2023-12-08,12:00:00,16:00:00,,Yes,2023-12-09 14:19:58.080,"{'project_name': 'DSE Quality', 'created_at': '2023-12-09 14:19:58.080000', 'time_spent': '04:00'}"
idoebold,2023-12-09,14:30:00,17:30:00,,Yes,2023-12-09 18:30:55.872,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-09 18:30:55.872000', 'time_spent': '03:00'}"
khayeche,2023-12-01,10:00:00,19:00:00,01:00,,2023-12-10 10:51:43.776,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-10 10:51:43.776000', 'time_spent': '08:00'}"
aminaeva,2023-12-09,18:00:00,20:00:00,,Yes,2023-12-10 17:04:20.640,"{'project_name': 'Sales B2B', 'created_at': '2023-12-10 17:04:20.640000', 'time_spent': '02:00'}"
aminaeva,2023-12-10,18:00:00,20:45:00,,Yes,2023-12-10 22:43:30.432,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-10 22:43:30.432000', 'time_spent': '02:45'}"
bsendziuk,2023-12-11,09:00:00,18:00:00,01:00,No,2023-12-11 11:19:17.472,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-11 11:19:17.472000', 'time_spent': '08:00'}"
fschinner,2023-12-06,09:00:00,17:30:00,00:30,No,2023-12-11 12:48:55.008,"{'project_name': 'IT', 'created_at': '2023-12-11 12:48:55.008000', 'time_spent': '08:00'}"
dsylari,2023-12-11,11:15:00,15:45:00,00:30,No,2023-12-11 15:55:03.936,"{'project_name': 'DSE Tech', 'created_at': '2023-12-11 15:55:03.936000', 'time_spent': '04:00'}"
mkajo,2023-12-11,11:15:00,16:00:00,00:45,No,2023-12-11 15:59:19.680,"{'project_name': 'DSE Quality', 'created_at': '2023-12-11 15:59:19.680000', 'time_spent': '04:00'}"
jalmendrasvilla,2023-12-11,09:05:00,17:00:00,,No,2023-12-11 16:59:38.112,"{'project_name': 'DSE Quality', 'created_at': '2023-12-11 16:59:38.112000', 'time_spent': '07:55'}"
gleka,2023-12-11,08:30:00,17:00:00,00:30,Yes,2023-12-11 16:59:53.664,"{'project_name': 'DSE Tech', 'created_at': '2023-12-11 16:59:53.664000', 'time_spent': '08:00'}"
khayeche,2023-12-05,14:00:00,18:00:00,,Yes,2023-12-11 17:34:51.456,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-11 17:34:51.456000', 'time_spent': '04:00'}"
aminaeva,2023-12-11,11:15:00,19:45:00,01:30,No,2023-12-11 19:49:42.816,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-11 19:49:42.816000', 'time_spent': '07:00'}"
rtao,2023-12-11,09:00:00,18:00:00,01:00,No,2023-12-11 20:39:39.168,"{'project_name': 'IT', 'created_at': '2023-12-11 20:39:39.168000', 'time_spent': '08:00'}"
desfandyari,2023-12-04,09:30:00,15:00:00,00:00,Yes,2023-12-11 22:38:46.176,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-11 22:38:46.176000', 'time_spent': '05:30'}"
desfandyari,2023-12-05,09:30:00,15:00:00,00:00,Yes,2023-12-11 22:39:20.736,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-11 22:39:20.736000', 'time_spent': '05:30'}"
desfandyari,2023-12-06,09:30:00,12:00:00,00:00,Yes,2023-12-11 22:40:59.232,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-11 22:40:59.232000', 'time_spent': '02:30'}"
desfandyari,2023-12-08,13:00:00,17:00:00,00:00,Yes,2023-12-11 22:41:51.936,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-11 22:41:51.936000', 'time_spent': '04:00'}"
desfandyari,2023-12-11,11:00:00,17:30:00,00:00,No,2023-12-11 22:42:53.280,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-11 22:42:53.280000', 'time_spent': '06:30'}"
